s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
o | den Politikern | warf | über Jahre hinweg die Finanzverantwortung für die Hochschulen nicht mehr wahrgenommen zu haben
o | den Beaujolais-Winzern | gestattete | ihren Rotwein noch ganz jung auf den Markt zu bringen
s | Das Oberhaupt von 20 Millionen Ismaili-Moslems und einer der reichsten Männer der Welt | versucht | die Auktion der Schmuckstücke in letzter Minute zu verhindern
s | Die algerische Bevölkerung | gezwungen | wählen zu gehen
s | Kanther | forderte | die technischen Möglichkeiten zur Verhinderung von Straftaten etwa elektronische Wegfahrsperren besser als bisher zu nutzen
o | das Unternehmen | forderte | seine Ölförderung in Nigeria zu stoppen bis das Militärregime die Menschenrechtsverletzungen einstelle
s | Die UN | erwägen | die Vollstreckung der Todesurteile in einer Resolution zu verurteilen und ein Waffenembargo gegen Nigeria zu beschließen
o | Den Männern im Alter von 31 und 41 Jahren | wirft | gemeinsam zwei Kameraden nahe Mostar in Bosnien-Herzegowina ermordet zu haben
o | der Kunstgeschichte | hielt | sich nicht genug um die Interpretation der Zeichnungen und Collagen gekümmert zu haben
s | sie | versuchen | das Abholzen der Regenwälder zu verlangsamen
s | die EU | versucht | Aus der Not Europas im Gegensatz dazu keine einheitliche Sprache und einen zersplitterten Markt zu haben eine Tugend zu machen
s | Die Gier nach flächendeckender Musicalisierung | glaubt | allmählich ganz auf Boulevard- und Großstadtambiente das wie lausig auch immer sogar in Offenbach noch gegeben ist verzichten zu können
s | Die alleingelassene Allgäuer Bergwelt | weiß | sich zu helfen
s | Wir | gelernt | auf die Menschen zu vertrauen und zu hören
s | die Kommission | schlägt | auf eine Amtssprache zu verzichten und jedem Eritreer das Recht die Sprache seiner Wahl zu sprechen zu geben
o | Colt und den Wettbewerber MFS | verpflichtet | beim Buddeln zu kooperieren
s | Die bislang von den Christdemokraten gepflegte Tradition vor allem die katholische Soziallehre | sei | die Partei in die Zukunft zu tragen
o | die Teilnehmer an der dritten Stufe der EWU | forderte | sich in Ergänzung zum Maastrichter Vertrag zu finanzpolitischer Disziplin zu verpflichten
s | Die Koalitionäre | vereinbarten | den Begriff der Todesstrafe die bisher durchschnittlich einmal im Monat verhängt aber automatisch in lebenslängliche Haft umgewandelt wurde in den Gesetzbüchern zu streichen
s | die Wirtschaftsweisen | anregen | die völkerrechtlich verbindliche Hausordnung so daß zum vereinbarten Termin niemand einziehen dürfte umzuschreiben
s | Die AgV | empfiehlt | die Raumluft ausreichend zu erneuern
s | wir | aufgehört | unsere Kollegen zu ermahnen den israelischen Friedensritter nicht zur Beute jener Wölfe des Rassismus die in den Straßen und vor unseren Türen herumstreichen werden zu lassen
o | unsere Kollegen | zu ermahnen | den israelischen Friedensritter nicht zur Beute jener Wölfe des Rassismus die in den Straßen und vor unseren Türen herumstreichen werden zu lassen
s | wir | appellieren | den palästinensischen Friedensritter nicht im Stich zu lassen
s | Ernsthafte und verantwortungsbewußte Menschen in Israel | genötigt | die Wurzeln des gräßlichen Versagens das zur Ermordung des israelischen Premiers des ersten der unter den Kugeln eines Attentäters starb führte zu erkennen
o | uns | aufforderte | zu warten bevor man davon der Attentäter sei Jude ausgehe
s | die | suchte | uns zu beruhigen
o | die Siedler | fordern | ihre Häuser zu verlassen
o | sie | fordern | sich so wie wir in Israel zu verhalten
s | Ich | appelliert | nicht zu zögern die bittere Pille die vor unserem Volk geschluckt ich und andere haben Nämlich die historische Wahrheit die alte wie die neue zu sagen vor ihrem Volk zu schlucken
s | die Düsseldorfer Landesregierung | weigerte | die Bedingung der Türkei zu akzeptieren
o | den Industrieländern | warfen | Naturschutz und die Kontrolle der Gentechnik zu blockieren
o | den Industrieländern | warfen | mit ihrer Haltung einen wirkungsvollen Naturschutz und die Kontrolle der Gentechnik zu verzögern
s | Japan | aufhören | seine militaristische Vergangenheit zu beschönigen
s | er | versuche | über die Medien Einfluß auszuüben
s | man | versuche | Geld zu sparen
s | der Hauptverband der Deutschen Bauindustrie | hofft | Auf diese Weise das in Bonn schlummernde Entsendegesetz das den befürchteten drastischen Beschäftigungsabbau aufgrund der Niedriglohnkonkurrenz ausländischer Anbieter hierzulande verhindern soll doch noch durchzusetzen
s | Clinton | verpflichten | durch eine rigide Haushaltspolitik Voraussetzungen für einen ausgeglichenen Haushalt im Jahre 2002 zu schaffen
o | dieser | erlaubte | das Konterfei Brandts auf eine limitierte Auflage von Gedenkmünzen zu prägen
s | er | hoffe | aufgrund der mittlerweile gestarteten Bemühungen um ein besseres Finanzmanagement in den nächsten zwei bis drei Jahren einen Großteil der Mängel abstellen zu können
s | Erziehungsminister François Bayrou | kündigte | etwas für die benachteiligten Universitäten zu tun
s | das Frankfurter Oberlandesgericht | zugestimmt | Leeson auszuliefern
o | Weizman | empfehlen | Schimon Peres mit der Bildung der Regierung zu beauftragen
s | die Arbeitsgemeinschaft sozialdemokratischer Frauen AsF aus Hemmingen im Süden Hannovers | begann | ihren Stand vorzubereiten
o | die Partei | warnte | über weitere Streitereien das politische Profil der SPD aus den Augen zu verlieren
s | die mittel- und osteuropäischen Länder vor allem die Republiken der früheren Sowjetunion | getan | einen langsameren wirtschaftlichen Wandel zu wählen wie in China praktiziert es werde
o | Bundesinnenminister Manfred Kanther | aufgefordert | auf Abschiebungen von Ausländern zunächst zu verzichten und Entscheidungen des Parlaments zum Aufenthaltsrecht für Bürgerkriegsflüchtlinge und für Altfälle abzuwarten
s | Der Zeitungsverkäufer | glaubt | den Schuldigen zu kennen
s | der | versucht | die festgefahrenen Verhandlungen voranzubringen
s | die Moslems | versuchten | in Sarajevo eine starke Zentralregierung zu etablieren
s | er | kündigte | 28 Milliarden Dollar aus dem Regierungsfonds für Sozialversicherungen abzuziehen um kurzfristige Verbindlichkeiten zu decken
o | die Priester seiner Erzdiözese Warschau | aufgerufen | vor der entscheidenden Stichwahl zum Präsidenten am kommenden Sonntag Messen für die Wahlen Präsident Walesa und das ganze Vaterland zu lesen
o | einen Mann | verurteilt | seiner Ehefrau einen Monat lang täglich Blumen zu schenken
o | dem Paar | riet | es noch einmal miteinander zu versuchen
o | den von den Republikanern dominierten Kongreß | rief | eine Erhöhung der Schuldenobergrenze ohne Bedingungen zu billigen
o | die EU-Staaten | rief | Ängste der Bürger vor dem geplanten Eurogeld nicht zu verstärken sondern zu zerstreuen
s | Arzu | versprochen | gegen Steuerhinterziehung und Korruption vorzugehen
s | Der Chemiekonzern | plant | seinen Umsatz im Reich der Mitte bis zur Jahrtausendwende auf 1,2 Milliarden Dollar zu verdoppeln
s | ihr professionalisierter Teil die NGO | beschränkt | Lobbyarbeit bei den Mandatsträgern politischer Parteien zu leisten
s | sie | sind | ihre strukturelle Schwäche zu überwinden und ihre strategische Kompetenz in politische Macht umzusetzen
s | sie | kommen | ihre Partizipationsspielräume zu erweitern und neue Terrains mit verfassungsrechtlicher Verankerung zu gewinnen
s | die | gezwungen | ihre Handlungen einer erheblich kritischeren gesellschaftlichen Instanz gegenüber zu legitimieren
s | Konservative Gegner der Atomenergie | gezwungen | grün zu wählen
o | den | angewöhnt | poetisch zu nennen
s | der | macht | die Werkbeschreibung zu entziffern
s | die | zögert | dem männlichen Geschlecht Gewalt anzutun mit der hängenden Skulptur Fillette etwa ein Fleischerhaken mit Phallus und Skrotum aus Latex Kastrationsphantasien aus der Metzgerei
s | Man | glauben | mit dem Begriff von Kinde aus das Kind gleichsam pur zu haben
s | Er | lernen | Manipulationen zu durchschauen
s | Die jetzige Regierung | versucht | ein gewisses Gleichgewicht herzustellen
o | Mensch werde wesentlich diese Aufforderung | bekamen | gleich zweimal zu hören
o | den Menschen | hindere | zu sich selbst zu finden
o | Distanz zu den Medien | zu schaffen | ohne sie zu verteufeln
s | beide Länder | hoffen | Dort Erdöl zu finden
o | Litauen | bot | das umstrittene Gebiet zu gleichen Hälften zu teilen
o | ihre eher auslands-scheuen Theater | ermutigt | in diesem Jahr eine lange Reihe deutscher Dramen aus den letzten zwei Jahrhunderten die bisher selten oder nie gespielt sie haben zu riskieren
o | dem Partei-Blatt Doen | sagte | 1989 einen Arzt gefragt seine unheilbar kranke im Sterben liegende Mutter von ihrem Leiden zu erlösen zu haben
o | einen Arzt | gefragt | seine unheilbar kranke im Sterben liegende Mutter von ihrem Leiden zu erlösen
s | vor allem die Christdemokraten | bemühen | Diskussionen um ethische Fragen wie die der Sterbehilfe zu vermeiden
s | Reiner Geulen Anwalt der Stadt Neuwied | versuchte | nachzuweisen wie sorglos mit den sich aus der Lage des Kraftwerks ergebenden Fragen bei der Genehmigung des Reaktors in einer dergestalt gestörten geologischen Formation umgegangen worden ist
o | den Parteitagsdelegierten | bescheinigte | in Mannheim eine ehrliche und hilfreiche Debatte geführt zu haben
s | er | appellierte | jetzt eine Integrationsleistung zu vollbringen
s | Parteivize Johannes Rau | warb | die Statik der Parteiführung nicht durcheinanderzubringen
s | er | hofft | mit den geplanten Schritten Einbußen beim Ergebnis zu vereiteln
s | die West-Firmen | entschlossen | ihre das Apartheid-Regime stützenden Investitionen zu beenden
s | die | entschließen | ihren Lebensunterhalt ganz oder teilweise auf andere Art zu verdienen
s | viele Kunden | erwägen | sich dieser Bewegung anzuschließen
s | Die Kranich-Firma | rühmt | nach Ende des Tauschprogramms die weltweit erste Fluggesellschaft vergleichbarer Größenordnung deren gesamter Park den strengsten Lärmanforderungen gerecht wird zu sein
s | Er | beantragte | einen Beamten vom Dienst zu suspendieren
o | das Opfer | gezwungen | Kniebeugen zu machen und über den Boden zu kriechen
s | Die zuständige Kommissarin Sadako Ogata | bittet | das Recht auf Asyl gewissenhaft aufrechtzuerhalten
s | man | hoffe | die in wechselnden Gebieten und mit wechselnden Tätergruppen operierenden Banden besser einordnen zu können
s | die Bundesregierung | weigere | eine einheitliche Berufsausbildung und Registrierung der Vermittler festzulegen
s | Regierungschef Gonzalez | beabsichtigte | ihn zum Nachfolger und Spitzenmann der Sozialistischen Partei für die Parlamentswahlen vom März 1996 zu machen
o | dem slowakischen Delegierten | warf | die Resolution angestiftet und sich damit destruktiver Tätigkeit gegen die Slowakei schuldig gemacht zu haben
s | die SPD | bemüht | ihr neues Moderne-Wirtschaftspolitik-Image durch die Einladung von Gastrednern aus dem Arbeitgeberlager aufzupolieren
o | Den Schulterschluß der SPD mit den Gewerkschaften | bekamen | zu spüren
s | Der stellvertretende SPD-Vorsitzende Oskar Lafontaine | verlangt | das Projekt der Europäischen Währungsunion zu verbessern
s | er | aufgefordert | gegen Rudolf Scharping für den Parteivorsitz zu kandidieren
s | auch der Bundespräsident | veranlaßt | die Wehrpflicht als originäre Bürgerpflicht deren Erfüllung Vorrang vor dem Zivildienst haben müsse zu bezeichnen
o | die Generäle | forderte | die Bundeswehr attraktiver zu machen
s | Wehrpflicht glaubwürdig zu erhalten | heißt | zu erklären weshalb wir sie trotz des Wegfalls der unmittelbaren äußeren Bedrohung immer noch benötigen
s | Landsberg | zeigt | die Wende bald zu schaffen
o | dem Vorstand | schlägt | einen Beherrschungsvertrag mit der französischen Mutter abzuschließen und zwar mit Ergebniswirkung für das volle Geschäftsjahr 1996
o | Shell | vorgeworfen | den Völkermord des Regimes an dem Volk der Ogoni das an der Flußmündung lebt zu unterstützen
s | sie | entschlossen | dem Volk reinen Wein einzuschenken und den Abbau der Defizite in den öffentlichen Finanzen zur Hauptaufgabe der nächsten zwei Jahre zu machen
o | die SPD | riefen | sich von der SED-Nachfolgepartei konsequent abzusetzen
o | die SPD | ermahnte | nicht dem Chef der PDS-Gruppe im Bundestag Gregor Gysi und der restlichen PDS-Führung nachzulaufen
o | alle Autofahrer | forderten | öfter auf das Fahrrad oder öffentliche Verkehrsmittel umzusteigen
o | Sachsen-Anhalt | verpflichten | dem Bund die Einlagerung radioaktiver Abfälle zu untersagen
o | Deutschland und Großbritannien | vorgeworfen | in ihren Ländern moslemische Extremisten zu dulden
s | die Behörden des nordafrikanischen Landes | weigerten | dem Reporter das nötige Visum auszustellen
s | Untergrundkämpfer der Bewaffneten Islamischen Gruppe GIA | gedroht | die Abstimmung mit Anschlägen zu sabotieren
s | er | versucht | die Vorgeschichte des Stücks zu bebildern
s | die Werrataler | begannen | die Ställe für eine artgerechte Tierhaltung umzubauen
s | das | verstand | zu schätzen was ihm geboten man hatte
o | kaum etwas | ließ | zu wünschen
s | die Schüler | pflegten | an deren Inventar ihre Zerstörungswut auszulassen
s | der Christdemokrat | weiß | die Interessen des mit knapp 400 000 Einwohnern kleinsten EU-Staats wirkungsvoll zur Geltung zu bringen und damit auch sein eigenes politisches Gewicht zu mehren
s | Der prinzipiell kritisch über allen Parteien schwebende Spiegel | wußte | zu berichten Es daß Deng kam war höchste Zeit
o | vieles | läßt | zu wünschen
s | Die Parteiführung | beschloß | ausgewählte Experimentierfelder Sonderwirtschaftszonen SWZ in denen zu günstigen Konditionen für den Export produzieren und über die chinesische Beteiligung Devisen erwirtschaften ausländisches Kapital sollte einzurichten
s | Die reich gewordenen Provinzen | weigern | mehr Mittel an die Zentrale und die unterentwickelten Regionen abzuliefern
o | ihren Regierungs- und Staatschefs | empfehlen | den Plan auf ihrem Gipfeltreffen am Sonntag anzunehmen
s | Die enttäuschten Gastgeber | versuchen | den Schaden zu begrenzen
s | die | versteht | sonst jeden Unmut auf SPD-Parteitagen zu zügeln
s | kaum noch jemand | wagte | die vor Mannheim zu hegen
s | del Monaco | verpflichtet | sich Kürzungen nicht zu verschließen
s | die Stadt | erwäge | die nächste Instanz anzurufen
s | sie | seien | bestimmte Töne herauszufiltern
s | die Industrie | sei | leistungsfähige digitale Hörgeräte im Kleinstformat zu produzieren
s | Gingrich | versprochen | den US-Haushalt bis zum Jahre 2002 von Schulden freizumachen
s | Gingrich | versucht | sein Programm vor allem auf Kosten der sozial Schwachen des unteren Mittelstands und der älteren Menschen zu finanzieren
s | er | schätzt | in der kommenden Periode wieder ein Ergebnis vor Steuern in Höhe von 100 bis 120 Millionen Mark ausweisen zu können
s | auch alle Telekom-Kunden | bekommen | Das bald zu spüren
s | Die Behörden | zugesagt | den Beschwerden über schlechtes Essen und Überbelegung nachzugehen
s | die | versuchten | durch den Tunnel zu entkommen
s | das Gefängnispersonal | geweigert | in die Justizvollzugsanstalt zurückzukehren
s | man | versucht | dies durch eine andere Gestaltung zu ändern
o | die ganze Partei | fordert | Oskar Lafontaine uneingeschränkt zu unterstützen
s | Lafontaine | aufgefordert | als Parteichef zu kandidieren
s | er | kündigte | auch gegen einen neuen Beschluß des Kongresses über eine Zwischenfinanzierung des Haushaltes sein Veto einzulegen
s | Clinton | verpflichtet | den Bundeshaushalt in sieben Jahren schuldenfrei zu machen
s | Die Führer der Republikaner im Abgeordnetenhaus und im Senat Newt Gingrich und Bob Dole | zeigten | das Veto des Präsidenten überstimmen zu können
s | Er | verlangte | sich endlich auf einen Personalvorschlag zu einigen
s | Er | versuchte | zwischen den unterschiedlichen Anträgen für den künftigen Wirtschaftskurs der Partei eine Verbindung herzustellen
o | den Text | kritisierte | die Demokratie totzusparen
s | Apotheken | autorisiert | billigere als die vom Arzt verschriebenen Medikamente zu verabreichen
o | den anderen Arbeitnehmerorganisationen | warf | verantwortungslos zu handeln
o | die Partei | forderte | Lafontaine uneingeschränkt zu unterstützen
o | den Bundesgerichtshof | veranlaßt | die jahrelange eigene Rechtsprechung als folgenschweres Versagen zu brandmarken
s | Sie | bekam | wie schon vor vier Wochen in der Bundestagsfraktion die in der Partei verbreitete Unzufriedenheit mit ihrer außen- und europapolitischen Arbeit zu spüren
s | purer Egoismus | gebiete | Das Artensterben zu bremsen
s | Engholm selbst | eingeräumt | eine Woche vor der Landtagswahl im September 1987 informiert worden zu sein
o | Den Ausschußvorsitzenden | warfen | den juristischen Grundsatz Im Zweifel für den Angeklagten nicht genügend berücksichtigt und ihre Feststellungen auf Plausibilitäten gestützt zu haben
o | Das | berichten | ohne Gründe für den Schritt anzugeben
o | den UN-Mitgliedstaaten | warf | mit der Resolution wertvolle Zeit zu verschwenden
o | der Zeitschrift | hielt | bei dem Test grobe handwerkliche Fehler begangen zu haben
o | Bundesverkehrsminister Matthias Wissmann CDU | forderten | sich nachdrücklich für eine Anhebung der Bußgeldgrenzen von 400 Mark auf 3000 Mark einzusetzen
o | Regierungen und Unternehmen | aufgefordert | auf die Junta in Nigeria Druck auszuüben um weitere inhaftierte Bürgerrechtler des Ogoni-Volkes zu schützen
s | die deutsche Chemie-Industrie | verpflichtet | die Giftbelastung des Rheins bis zur Jahrtausendwende weiter zu senken
o | die Regierung | forderte | alles Nötige zu veranlassen damit die Präsidentschaftswahlen im Dezember friedlich vonstatten gingen
s | Der von einem Mordaufruf bedrohte Schriftsteller Salman Rushdie | gehindert | an einer Buchmesse teilzunehmen
o | Frankreich | beschuldigte | massiven Druck ausgeübt zu haben
o | die Kamikaze-Fahrer | anzuspornen | einen persönlichen Rekord aufzustellen
o | dem Fahrgast | ermöglicht | gleichzeitig aber auch bei einer Vollbremsung sich platt an der Frontscheibe wiederzufinden
s | sie | vergessen | den Obolus um den der Pfarrer bittet zu entrichten
s | Sie | angewiesen | Nährstoffe zu suchen
s | niemand | wußte | eine von allen Seiten akzeptierte Lösung vorzuschlagen
s | Touristen | gewöhnt | ihr Urlaubsziel ohne Privatwagen zu erreichen und am Urlaubsort ohne Wagen auszukommen
s | Penrose | kommt | einige grundlegende physikalische Theorien zu erläutern und zu benutzen sowie sich einer mathematisch-logischen Struktur zu bedienen
o | Politik und Öffentlichkeit | zwingt | sich mit dem Atomwaffenproblem erneut auseinanderzusetzen affektfreier und nüchterner als bislang
s | er | beginnen | von der Wirkung unangestrengter Harmonie zu erzählen
s | Alle wir | meinen | zu wissen was eine Nachricht ist
s | er | versuchte | Seine fachliche Inkompetenz mit Gesten der Belehrung und Bevormundung zu kaschieren
s | wir | lernen | die Bewegungen zu deuten
s | Sie | schlugen | die Rationen sofort zu erhöhen
s | Ich | hoffe | die beiden in einem Reiseprospekt abgebildet niemals zu finden
s | Sie | glauben | unbedingt nach Vanuatu reisen zu müssen
o | ihr | untersagt | Einen Job anzunehmen
o | die Schulmediziner | forderte | sich mit der inneren Logik der unkonventionellen und der Para-Medizin zu befassen um die dahinterstehenden Fragen der Patienten aufnehmen zu können
s | Peter F. Matthiessen von der Gemeinschaftsklinik der Universität Witten- Herdecke | forderte | nicht den Tumor alleine sondern den Kranken insgesamt zu betrachten
o | ihm | warf | den Realismus Dostojewskis und seinen alle Schichten der russischen Gesellschaft repräsentierenden Stil mißdeutet zu haben
s | sie | verpflichtet | die sozialen Leistungen die es beim Staat gibt anzubieten
o | die Leitung der Organisierten Gondoliere | bewogen | jetzt sogar ein eigenes Ehrengericht einzurichten
s | Kenner der Popbranche | glauben | indes den wahren Grund für die Frischzellenkur der alten Popstars erkannt zu haben
o | Lafontaine | rief | sein Verhältnis zu Ostdeutschland klarzustellen
s | der | wußte | zu schweigen und zu warten
s | welche | versteht | die strategische Intelligenz einer dramaturgisch zugespitzten Situation politisch nicht zu deuten
s | Der Aufsichtsrat der amerikanischen Linie | beschlossen | die Beteiligungen auf 19 Prozent zu begrenzen
s | Sie | appellieren | Druck auf die Regierung ihres Heimatlandes auszuüben
s | beide Seiten | vereinbart | die gesamten Verbindlichkeiten Rußlands bei westlichen Banken langfristig umzuschulden
s | Verteidigungsminister Rühe | forderte | die Strukturreform der Nato sofort einzuleiten um wie geplant 1997 mit den Reformstaaten Osteuropas über ihren Beitritt verhandeln zu können
o | Polizei und Feuerwehr | vorgeworfen | zu spät mit den Rettungsmaßnahmen begonnen zu haben
s | die | versicherten | die Feuerwehr schon mindestens eine halbe Stunde vorher alarmiert zu haben
o | Lafontaine | forderte | möglichst bald in Ostdeutschland aufzutreten
o | den neuen Partei-Chef | rief | sein Verhältnis zu Ostdeutschland zu klären
s | Kwasniewski | gab | höhere Schulbildung zu besitzen
o | die SPD-Bundestagsfraktion | ermächtigte | einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien in vollem Umfang zuzustimmen
s | die SPD | gezwungen | die deutsche Beteiligung an einer Friedenssicherung abzulehnen
o | den Menschen in Ostdeutschland | versprach | sich vorrangig um ihre Sorgen kümmern zu wollen
o | alle Mitglieder | rief | den Neubeginn zu unterstützen
s | Alexij II. | versucht | dagegenzuhalten
s | das Weißbuch zu Wachstum Wettbewerbsfähigkeit und Beschäftigung des damaligen EU-Kommissionspräsidenten Jacques Delors | versprach | die Arbeitslosigkeit um die Hälfte zu verringern
s | Spaniens Ministerpräsident Felipe González Gastgeber des baldigen EU-Gipfels | versprach | sich dafür einzusetzen
o | den Präsidenten | verpflichtet | seine Beteuerungen der Öffnung wahrzumachen einen echten Dialog zu beginnen und Parlamentswahlen die nicht mehr boykottiert werden zu organisieren
s | die Wahlhelfer ihres Kandidaten | gehindert | die Auszählung von Stimmen zu kontrollieren
o | die SPD-Bundestagsfraktion | ermächtigte | einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien in vollem Umfang zuzustimmen
s | die SPD im Bundestag | gezwungen | die deutsche Beteiligung abzulehnen
o | den Menschen in Ostdeutschland | versprach | sich vorrangig um ihre Sorgen kümmern zu wollen
o | alle Mitglieder | rief | den Neubeginn zu unterstützen
o | die Regierung | forderte | alles Nötige damit die Präsidentschaftswahlen im Dezember friedlich verlaufen zu veranlassen
s | Die Abgeordneten | gefordert | die Mittel für die Fischereipolitik den Ausbau der transeuropäischen Verkehrsinfrastruktur sowie die Hilfe für den südlichen Mittelmeerraum zu kürzen
s | der UN-Unterhändler Mahmoud Mestiri | versuche | die Menschen zu täuschen und die Herrschaft der Regierung unter Präsident Burhanuddin Rabbani zu verlängern
s | der jüdische Historiker Michael Wolffsohn | mahnte | über Protesten gegen Umweltgefährdung nicht die von Krieg und Gewalt gefährdeten Menschen zu vergessen
s | Die Lehre der Geschichte | laute | die Lebenden zu schützen
s | Der Präsident des Volksbundes Hans-Otto Weber | appelliert | der Opfer von Krieg und Gewaltherrschaft zu gedenken und zu verhindern daß gleiches wieder geschehe
s | Drei Amerikaner | angeklagt | am 4. September ein zwölfjähriges Mädchen in einem Mietwagen entführt und brutal mißbraucht zu haben
o | der Bundesregierung | vorgeworfen | untätig zuzusehen wie Umweltaktivisten zum Boykott gegen den Import von Tropenholz aufrufen
o | den Kanzler | forderte | nach Rückkehr von seiner Ostasienreise der deutschen Öffentlichkeit ungeschminkt und umfassend Rechenschaft darüber was mit den Machthabern in China und den Militärs besprochen er habe abzulegen
o | die USA Großbritannien und China | rief | ein Ölembargo gegen Nigeria zu unterstützen
s | Ein arbeitsloser argentinischer Kriegsveteran | versucht | die Schulgebühren seines Sohnes mit drei Tapferkeitsmedaillen aus dem Falklandkrieg von 1982 zu bezahlen
o | ihre Delegation in Dayton | forderten | jeden nachteiligen Vertrag abzulehnen
o | dem Regisseur | empfahlen | lieber als zu einer amerikanischen Major Company zu einem deutschen Konkurrenten zu gehen
o | mir | gemacht | zu schaffen
s | Du | versuchst | nett auszusehen
s | Der US-amerikanische Hauptankläger Robert Jackson | versuchen | in Worte zu fassen was die Welt erschütterte und in Deutschland einen ersten Schock hinterlassen wird
s | der Reformer Herbert Mai | anschickte | das Ruder in der Gewerkschaft Öffentliche Dienste Transport und Verkehr ÖTV zu übernehmen
s | die | verstehen | gut zu leben
s | Die Gewerkschaften aber | tun | auf den neuen Typus des Arbeitnehmers zuzugehen und das neue Reservoir zu erschließen
s | Ausländische Touristen | fangen | das Bürgerkriegsland zu meiden
s | der Australian Council of Trade Unions ACTU | versucht | den in der Wirtschaft zunehmenden Trend zu direkt zwischen Arbeitgebern und -nehmern ausgehandelten Einzelverträgen aufzuhalten
o | ihnen | werfen | durch überhöhte Lohnforderungen und die Erzwingung unrealistischer Arbeitsbedingungen stark zu den Wirtschaftsproblemen des Landes beigetragen zu haben
s | Die Reformer an der Parteispitze | aufhören | schlichte Tatsachen daß es neben Opfern auch Täter gab daß nicht jedes Verhalten gedeckt vom Recht auf die eigene Biographie sein kann hinter rhetorischem Nebel zu verstecken
o | einen ordentlich bestallten US-Bundesrichter wie Robert Jackson | bewog | eine beschlagnahmte Unterkunft im zerstörten Nürnberg zu beziehen
s | Die Christdemokraten deren Landesvorsitzender Christian Wulff das Thema ursprünglich für die Landespolitik entdeckt hatte | beschlossen | die Reform abzulehnen
s | die | versuchen | das Wirken der Wehrmachtsjustiz zu relativieren
s | er | versuchte | das Fundament seines Handelns mit dem Hinweis dieser Prozeß sollte der Nachwelt so als erfüllte er das Sehnen des Menschen nach Gerechtigkeit vorkommen zu untermauern
s | Er | versprach | die Kooperation innerhalb der Apec mit umgerechnet 150 Millionen Mark zu fördern
s | alle Teilnehmerstaaten | versprechen | auf der wirtschaftlichen Ebene enger zusammenzuarbeiten
s | die Apec-Entwicklungsländer | verpflichtet | bis 2020 nachzuziehen
o | dem Ministerpräsidenten Oskar Lafontaine | warf | mit seiner Finanzpolitik im Lande ebenso wie mit seiner Stahl- oder Wirtschaftspolitik gescheitert zu sein
s | Nachbarn der Obdachlosenunterkunft | behauptet | die Feuerwehr schon gegen 0.30 Uhr alarmiert zu haben
o | ihnen | zusagte | ihre Forderungen erfüllen zu wollen
o | die US-Umweltschutzverbände | forderte | massiv gegen die Politik der Republikaner im US-Kongreß vorzugehen
s | er | beschuldigt | von Pakistan aus Anschläge so auch das fehlgeschlagene Attentat auf Mubarak Ende Juni in der äthiopischen Hauptstadt Addis Abeba organisiert zu haben
o | ihm | erlaubt | schärfere Konturen zu zeigen
s | die | geglaubt | Clinton in die Knie zwingen in der Haushaltsfrage mühelos zu können
s | er | habe | 1996 Sicherheitsfragen auf die Tagesordnung zu setzen
s | Washington | erklärt | in den kommenden Monaten nicht an Verhandlungen über neue Mittel teilzunehmen
s | Weltbank-Präsident James Wolfensohn | appellierte | ihren Verpflichtungen als drittgrößter Geber nachzukommen
s | ein liberaler Komilitone | meint | sich zu erinnern daß er sich für seine Parteizugehörigkeit zunächst sogar schämte
s | Die Fundamentalistenbewegung Hamas | kündigte | sich als politische Partei etablieren und am 20. Januar an der Wahl eines Selbstverwaltungsrates für die Autonomiegebiete teilnehmen zu wollen
o | die USA Großbritannien und China | rief | ein Ölembargo zu unterstützen
s | Frankreichs Außenminister Hervé de Charette | angekündigt | die mangelnde Solidarität der europäischen Partner am heutigen Montag in Brüssel zur Sprache zu bringen
s | Kuczkowski | glaubt | das Ergebnis auf hohem Niveau halten zu können
s | Vogel-Verteidiger Volker Hoffmann | kündigte | die Zulassung der Anklage verhindern zu wollen
s | Der Aufsichtsrat von Thyssen | betonte | an Vogel als Vorstandschef festzuhalten solange die Anklageschrift keine neuen Tatbestände enthalte
o | die Piloten | bitten | zur Kenntnis zu nehmen daß ihre gegenwärtige Bezahlung höher als die anderer europäischer Piloten ist
o | das Kontrollgremium | gebeten | ihn von seinen Vorstandspflichten zu entbinden
s | das Institut | vorhaben | die Aktien nach dem Erwerb privat zu plazieren
s | einige Leute | begannen | lange Glasröhren aus den Hütten in Heimarbeit unter Öllampen wieder zu schmelzen und so vor allem Perlen herzustellen später auch Glasspielzeug und Früchte
s | der ehemalige Chef der Gesellschaft für Geld- und Kapitalverkehr | räumte | das Fränkische Überlandwerk um 183 Millionen Mark geprellt zu haben
s | Verstynen | versucht | das Haus von negativen Schlagzeilen frei zu halten
s | Manager Verstynen | bemühe | die Mannschaft zu motivieren und ihr Mut zu machen
s | die Schwankungsbreite | fügen | Dabei allerdings auf 3550 bis 4750 Punkte zu taxieren
s | die Mitgliedsländer | beschlossen | das Fonds-Kapital um 45 Prozent oder rund 80 Milliarden Dollar aufzustocken
s | Hannes Walther der Geschäftsführer der staatlichen Manufaktur | gibt | diese durchsetzen zu können
s | Er | trete | auch jede zweite Stelle abzubauen
